0;Concurso;Data Sorteio;1ª Dezena;2ª Dezena;3ª Dezena;4ª Dezena;5ª Dezena;6ª Dezena;Arrecadacao_Total;Ganhadores_Sena;Cidade;UF;Rateio_Sena;Ganhadores_Quina;Rateio_Quina;Ganhadores_Quadra;Rateio_Quadra;Acumulado;Valor_Acumulado;Estimativa_Prêmio;Acumulado_Mega_da_Virada
52;51;23/02/1997;23;24;42;25;17;47;000;0;;;000;143;7.23147;9361;11025;SIM;10.158.74973;000;000
53;52;02/03/1997;58;15;59;30;38;46;000;0;;;000;77;15.54423;6442;18543;SIM;11.595.03671;000;000
54;53;09/03/1997;42;13;03;46;38;16;000;0;;;000;210;6.33779;10941;12141;SIM;13.192.15946;000;000
55;54;16/03/1997;05;21;09;56;18;36;000;2;;BA;7.469.65399;207;7.03361;13067;11120;NÃO;000;000;000
56;;SP;;;;;;;;;;;;;;;;;;;
57;55;23/03/1997;29;02;14;38;23;52;000;0;;;000;66;10.81763;3840;18556;SIM;856.75639;000;000
58;56;30/03/1997;51;35;59;07;20;02;000;0;;;000;48;12.14220;2599;22381;SIM;1.556.14746;000;000
59;57;06/04/1997;27;17;16;34;07;59;000;0;;;000;79;10.69910;6173;13665;SIM;2.570.42180;000;000
60;58;13/04/1997;30;49;27;37;12;44;000;1;;SP;3.631.30491;65;13.60107;5040;17506;NÃO;000;000;000
61;59;20/04/1997;28;13;34;02;08;54;000;0;;;000;90;7.31234;5351;12275;SIM;789.73342;000;000
62;60;27/04/1997;38;14;21;15;03;20;000;0;;;000;129;7.11147;7914;11569;SIM;9.478.24926;000;000
63;61;04/05/1997;59;08;18;29;42;44;000;0;;;000;52;18.90294;3866;25376;SIM;10.657.79245;000;000
64;62;11/05/1997;52;13;06;24;08;31;000;0;;;000;119;9.96870;8613;13746;SIM;12.081.32345;000;000
65;63;18/05/1997;26;09;41;49;25;40;000;1;;MG;13.680.01957;82;16.24691;6359;20910;NÃO;000;000;000
66;64;25/05/1997;08;54;50;60;23;12;000;0;;;000;29;23.30996;2441;27638;SIM;811.18658;000;000
67;65;01/06/1997;20;01;05;32;25;34;000;0;;;000;61;11.54237;4932;14248;SIM;1.656.08809;000;000
68;66;08/06/1997;15;26;12;33;48;13;000;0;;;000;102;8.05425;7686;10668;SIM;2.641.92781;000;000
69;67;15/06/1997;47;14;27;52;17;12;000;0;;;000;83;10.61725;5479;16052;SIM;3.699.40644;000;000
70;68;22/06/1997;53;13;03;01;12;59;000;0;;;000;49;18.49673;4758;19011;SIM;4.787.01446;000;000
71;69;29/06/1997;56;58;34;53;25;45;000;0;;;000;55;17.27148;3661;25896;SIM;5.926.93193;000;000
72;70;06/07/1997;40;17;23;43;27;58;000;0;;;000;95;12.89952;6071;20146;SIM;14.883.84929;000;000
73;71;13/07/1997;53;16;45;43;33;27;000;0;;;000;115;12.45174;7430;19235;SIM;16.602.18845;000;000
74;72;20/07/1997;19;48;43;01;34;44;000;0;;;000;85;19.67633;7982;20913;SIM;18.609.17426;000;000
75;73;27/07/1997;57;25;45;28;51;26;000;1;;BA;21.026.57540;95;21.20527;8222;24452;NÃO;000;000;000
76;74;03/08/1997;02;24;34;50;38;37;000;0;;;000;40;18.25768;3321;21948;SIM;876.36871;000;000
77;75;10/08/1997;36;49;37;35;24;21;000;0;;;000;70;12.39502;5032;17209;SIM;1.917.55002;000;000
78;76;17/08/1997;33;18;23;08;17;53;000;0;;;000;92;10.24761;6399;14704;SIM;3.048.88614;000;000
79;77;24/08/1997;29;54;40;57;49;21;000;0;;;000;20;49.64881;2635;37609;SIM;4.240.45760;000;000
80;78;31/08/1997;22;32;46;12;25;31;000;0;;;000;103;9.90736;5984;17019;SIM;5.465.00639;000;000
81;79;07/09/1997;43;25;02;13;31;17;000;1;;RS;6.770.60175;247;4.40485;13375;8118;NÃO;000;000;000
82;80;14/09/1997;51;40;37;23;48;28;000;0;;;000;43;26.44300;4284;26489;SIM;10.953.70753;000;000
83;81;21/09/1997;47;41;10;60;54;23;000;0;;;000;62;19.45315;4870;24717;SIM;12.401.02168;000;000
84;82;28/09/1997;51;36;53;29;18;15;000;1;;BA;13.877.82602;77;15.98273;5889;20857;NÃO;000;000;000
85;83;05/10/1997;24;16;04;42;57;15;000;0;;;000;76;9.40843;4756;15004;SIM;858.04893;000;000
86;84;12/10/1997;10;34;04;06;25;40;000;0;;;000;102;7.53968;5546;13840;SIM;1.780.90580;000;000
87;85;19/10/1997;47;15;30;37;45;06;000;0;;;000;45;17.27925;4312;17996;SIM;2.713.98486;000;000
88;86;26/10/1997;54;21;06;34;36;22;000;0;;;000;48;16.75296;3752;21390;SIM;3.678.95517;000;000
89;87;02/11/1997;40;04;28;32;11;05;000;0;;;000;64;12.69660;5195;15611;SIM;4.654.05386;000;000
90;88;09/11/1997;45;37;29;04;43;18;000;0;;;000;110;7.96582;6805;12851;SIM;5.705.54099;000;000
91;89;16/11/1997;59;42;34;13;44;55;000;0;;;000;36;24.24600;3847;22645;SIM;6.752.96826;000;000
92;90;23/11/1997;21;26;40;54;09;52;000;1;;RJ;15.764.30087;74;18.58449;4763;28817;NÃO;000;000;000
93;91;30/11/1997;60;04;10;35;39;02;000;0;;;000;68;9.58880;3878;16781;SIM;782.44593;000;000
94;92;07/12/1997;05;23;51;03;01;24;000;0;;;000;75;9.79264;5530;13256;SIM;1.663.78345;000;000
95;93;14/12/1997;22;53;31;28;02;36;000;0;;;000;61;12.36931;3795;19844;SIM;2.569.21731;000;000
96;94;21/12/1997;28;51;55;18;52;08;000;0;;;000;25;31.45749;2086;37626;SIM;3.512.94216;000;000
97;95;28/12/1997;46;60;06;40;50;45;000;0;;;000;22;30.80789;2185;30958;SIM;4.326.27055;000;000
98;96;04/01/1998;04;42;58;26;07;40;000;1;;;5.218.56247;62;11.99317;3984;18627;NÃO;000;000;000
99;97;11/01/1998;56;53;11;14;05;35;000;1;;;727.93266;56;10.83233;3441;17594;NÃO;000;000;000
100;98;18/01/1998;43;33;14;31;35;13;000;0;;;000;89;6.50888;4972;11628;SIM;695.14905;000;000
101;99;25/01/1998;30;33;24;11;46;60;000;0;;;000;46;14.03792;3015;21376;SIM;1.470.04196;000;000
102;100;01/02/1998;46;48;30;14;29;51;000;0;;;000;56;15.93048;3600;24732;SIM;8.585.12947;000;000
103;101;08/02/1998;39;01;37;31;29;18;000;0;;;000;52;20.58941;4653;22964;SIM;9.869.90865;000;000
104;102;15/02/1998;44;42;37;56;19;20;000;1;;;11.336.62688;73;16.74336;6197;19685;NÃO;000;000;000
105;103;22/02/1998;09;01;57;07;54;49;000;1;;;696.98424;28;20.74358;2632;22024;NÃO;000;000;000
106;104;01/03/1998;13;01;38;21;52;04;000;0;;;000;37;14.00633;2588;19985;SIM;621.88072;000;000
107;105;08/03/1998;03;13;31;43;46;49;000;0;;;000;55;11.82408;4875;13314;SIM;1.402.26988;000;000
108;106;15/03/1998;24;16;38;05;39;35;9.795.27800;0;;;000;94;7.67827;5390;13365;SIM;2.268.37866;3.000.00000;000
109;107;22/03/1998;02;24;52;04;16;51;000;0;;;000;35;21.49423;3554;21126;SIM;3.171.13601;000;000
110;108;29/03/1998;60;29;34;24;21;59;000;0;;;000;35;22.51172;2453;32057;SIM;4.116.62849;000;000
111;109;04/04/1998;54;13;44;49;48;01;000;0;;;000;39;21.15330;3881;21215;SIM;11.523.67738;000;000
112;110;11/04/1998;57;58;18;31;43;52;000;0;;;000;35;27.77148;3212;30201;SIM;12.690.07916;000;000
113;111;18/04/1998;52;32;04;33;25;22;000;0;;;000;68;18.08294;6109;20088;SIM;14.165.64719;000;000
114;112;25/04/1998;37;43;34;20;12;42;000;1;;;15.802.57993;137;9.95701;8340;16325;NÃO;000;000;000
115;113;02/05/1998;34;54;26;28;55;07;000;0;;;000;38;14.26955;2572;21040;SIM;650.69140;000;000
116;114;09/05/1998;47;54;18;06;12;37;000;0;;;000;71;9.62608;4908;13899;SIM;1.470.83369;000;000
117;115;16/05/1998;06;14;24;20;04;38;000;0;;;000;78;9.28310;5091;14195;SIM;2.339.73179;000;000
118;116;23/05/1998;36;42;32;05;13;51;10.384.87800;0;;;000;64;11.95628;5270;14491;SIM;3.257.97362;4.200.00000;000
119;117;30/05/1998;53;42;27;20;33;25;000;0;;;000;36;22.04687;3822;20726;SIM;4.210.39841;000;000
120;118;06/06/1998;22;57;37;09;25;56;000;0;;;000;53;16.05288;4342;19556;SIM;5.231.36136;000;000
121;119;13/06/1998;47;21;01;50;36;38;000;0;;;000;21;38.92116;2691;30313;SIM;13.206.22591;000;000
122;120;20/06/1998;46;45;16;40;27;03;000;0;;;000;92;13.02097;7073;16904;SIM;14.643.74070;000;000
123;121;27/06/1998;53;41;44;02;29;55;000;0;;;000;45;28.91700;4554;28517;SIM;16.205.25833;000;000
124;122;04/07/1998;20;43;39;11;53;17;000;0;;;000;83;18.21045;7203;20943;SIM;18.019.01895;000;000
125;123;11/07/1998;13;42;16;32;14;26;000;0;;;000;176;12.44056;13159;16606;SIM;20.646.46528;000;000
126;124;18/07/1998;52;05;34;57;15;41;000;1;;;24.536.28872;188;17.24212;14019;23076;NÃO;000;000;000
127;125;25/07/1998;56;47;25;59;53;41;000;0;;;000;46;15.42568;2784;25438;SIM;851.49747;000;000
128;126;01/08/1998;32;28;06;10;11;40;000;0;;;000;83;10.05256;5510;15113;SIM;1.852.73183;000;000
129;127;08/08/1998;59;21;51;54;29;50;000;0;;;000;40;23.63847;2613;36114;SIM;2.987.37817;000;000
130;128;15/08/1998;23;43;03;21;09;18;000;0;;;000;973;1.02441;11715;8491;SIM;4.183.48350;000;000
131;129;22/08/1998;46;54;10;09;01;32;000;0;;;000;67;15.63441;5320;19651;SIM;5.440.49000;000;000
