0;Concurso;Data Sorteio;1ª Dezena;2ª Dezena;3ª Dezena;4ª Dezena;5ª Dezena;6ª Dezena;Arrecadacao_Total;Ganhadores_Sena;Cidade;UF;Rateio_Sena;Ganhadores_Quina;Rateio_Quina;Ganhadores_Quadra;Rateio_Quadra;Acumulado;Valor_Acumulado;Estimativa_Prêmio;Acumulado_Mega_da_Virada
613;559;01/05/2004;53;25;36;13;17;06;000;1;;ES;3.707.15254;75;8.18451;4460;13711;NÃO;000;000;000
614;560;05/05/2004;32;18;11;30;02;58;000;0;;;000;44;16.21547;2585;27497;SIM;6.433.06985;000;000
615;561;08/05/2004;39;49;36;20;55;01;000;0;;;000;32;31.34298;2743;36427;SIM;8.188.27667;000;000
616;562;12/05/2004;37;35;23;16;57;55;000;0;;;000;117;8.27195;5150;18722;SIM;9.881.95948;000;000
617;563;15/05/2004;34;08;23;44;51;05;000;0;;;000;90;13.54169;6007;20212;SIM;12.014.77450;000;000
618;564;19/05/2004;38;13;32;20;10;49;000;0;;;000;46;25.39282;4446;26173;SIM;20.397.76564;000;000
619;565;22/05/2004;31;37;35;07;45;34;000;0;;;000;57;29.24127;6804;24404;SIM;23.314.58263;000;000
620;566;26/05/2004;17;06;20;18;13;37;000;0;;;000;176;11.33445;13032;15249;SIM;26.805.59227;000;000
621;567;29/05/2004;57;58;11;38;41;31;000;0;;;000;69;37.88861;5787;45005;SIM;31.380.64206;000;000
622;568;02/06/2004;25;41;17;29;13;22;000;0;;;000;457;7.80244;24931;14248;SIM;37.620.64234;000;000
623;569;05/06/2004;32;15;14;09;03;57;000;1;;RJ;46.663.53270;434;11.90637;29922;17204;NÃO;000;000;000
624;570;09/06/2004;35;32;36;33;51;15;000;0;;;000;84;18.16810;7539;20167;SIM;21.431.97238;000;000
625;571;12/06/2004;14;31;12;13;51;50;000;0;;;000;69;22.29435;5572;27504;SIM;24.124.01499;000;000
626;572;16/06/2004;33;03;20;60;09;16;000;0;;;000;162;10.66849;9940;17321;SIM;27.148.53316;000;000
627;573;19/06/2004;59;29;17;06;40;22;000;0;;;000;82;25.01222;8272;24700;SIM;30.737.78641;000;000
628;574;23/06/2004;32;23;02;10;44;17;000;0;;;000;162;12.60931;12691;16035;SIM;45.420.56788;000;000
629;575;26/06/2004;18;29;21;48;35;05;000;2;;DF;25.737.01652;470;7.35984;21660;15910;NÃO;000;000;000
630;;SP;;;;;;;;;;;;;;;;;;;
631;576;30/06/2004;18;43;52;39;07;08;000;0;;;000;27;22.85621;1978;31081;SIM;1.079.95577;000;000
632;577;03/07/2004;31;47;28;23;08;24;000;0;;;000;57;15.09290;4579;18717;SIM;2.585.47250;000;000
633;578;07/07/2004;48;03;58;18;56;23;000;1;;MG;3.982.87262;62;12.87926;3639;21860;NÃO;000;000;000
634;579;10/07/2004;15;34;39;17;04;09;000;1;;PB;1.175.43213;90;7.46306;5172;12938;NÃO;000;000;000
635;580;14/07/2004;38;16;18;28;15;47;000;0;;;000;56;16.16875;4097;22017;SIM;9.592.94481;000;000
636;581;17/07/2004;30;25;52;14;39;17;000;1;;SP;11.781.32002;56;22.33036;4429;28127;NÃO;000;000;000
637;582;21/07/2004;13;40;29;59;45;51;000;0;;;000;29;17.14340;1943;25491;SIM;870.02737;000;000
638;583;24/07/2004;55;06;41;20;43;07;000;0;;;000;36;20.21813;2157;33616;SIM;2.143.76960;000;000
639;584;28/07/2004;30;53;23;07;32;08;000;0;;;000;49;13.32792;3278;19848;SIM;8.329.17580;000;000
640;585;31/07/2004;24;39;12;33;57;36;000;1;;MG;10.166.80768;124;8.46835;7122;14689;NÃO;000;000;000
641;586;04/08/2004;45;38;13;11;54;39;000;0;;;000;30;15.68792;2162;21687;SIM;823.61595;000;000
642;587;07/08/2004;30;02;36;18;60;29;000;0;;;000;36;20.51892;2436;30209;SIM;2.116.30812;000;000
643;588;11/08/2004;45;13;46;55;53;11;000;0;;;000;22;29.56571;2088;31034;SIM;3.254.58792;000;000
644;589;14/08/2004;13;07;33;59;06;08;000;0;;;000;152;5.92691;9005;9966;SIM;9.594.55927;000;000
645;590;18/08/2004;25;51;05;18;04;28;000;0;;;000;70;14.10562;5155;19082;SIM;11.322.49759;000;000
646;591;21/08/2004;58;03;18;50;34;01;000;0;;;000;64;18.96895;4448;27190;SIM;13.447.02010;000;000
647;592;25/08/2004;55;14;59;47;13;42;000;0;;;000;60;18.66459;5062;22039;SIM;15.406.80169;000;000
648;593;28/08/2004;27;29;01;59;25;49;000;0;;;000;68;20.26554;5291;25947;SIM;17.818.40151;000;000
649;594;01/09/2004;10;53;55;29;13;47;000;0;;;000;121;11.74770;6444;21976;SIM;27.956.98794;000;000
650;595;04/09/2004;54;02;43;01;50;25;000;0;;;000;89;22.73636;7230;27882;SIM;31.498.17646;000;000
651;596;08/09/2004;43;60;28;11;54;14;000;0;;;000;116;15.74968;6578;27669;SIM;34.695.36086;000;000
652;597;11/09/2004;42;40;27;22;56;29;000;0;;;000;140;21.65075;10021;30133;SIM;39.999.79249;000;000
653;598;15/09/2004;05;16;53;38;50;34;000;2;;DF;23.179.95119;234;15.53140;19229;18829;NÃO;000;000;000
654;;RS;;;;;;;;;;;;;;;;;;;
655;599;18/09/2004;06;45;51;09;23;04;000;0;;;000;65;10.37580;4755;14131;SIM;15.168.21908;000;000
656;600;22/09/2004;18;39;54;34;31;16;000;0;;;000;73;16.06292;4640;25175;SIM;17.220.25651;000;000
657;601;25/09/2004;37;19;29;30;10;22;000;0;;;000;75;18.83759;6002;23450;SIM;19.692.68990;000;000
658;602;29/09/2004;38;60;13;07;55;46;000;0;;;000;95;13.98893;6773;19547;SIM;22.018.34956;000;000
659;603;02/10/2004;04;08;11;29;12;44;000;1;;SP;24.750.88361;233;6.70150;12565;12380;NÃO;000;000;000
660;604;06/10/2004;41;49;51;25;15;46;000;0;;;000;15;35.67923;1422;37494;SIM;8.450.32562;000;000
661;605;09/10/2004;44;52;53;04;49;24;000;0;;;000;45;23.71698;3980;26715;SIM;10.318.03787;000;000
662;606;13/10/2004;41;06;23;55;32;35;000;1;;SP;11.878.49165;43;20.73693;3770;23563;NÃO;000;000;000
663;607;16/10/2004;06;59;11;27;19;41;000;0;;;000;48;13.50667;3059;21114;SIM;1.134.56021;000;000
664;608;20/10/2004;30;06;37;19;24;13;000;0;;;000;101;6.26754;5181;12172;SIM;2.242.34759;000;000
665;609;23/10/2004;15;02;59;60;06;58;000;0;;;000;60;13.95224;3994;20881;SIM;8.804.11770;000;000
666;610;27/10/2004;25;49;30;43;47;45;000;0;;;000;62;14.91112;4044;22775;SIM;10.421.97358;000;000
667;611;30/10/2004;22;21;33;16;48;49;000;0;;;000;69;16.34976;4531;24804;SIM;12.396.20789;000;000
668;612;03/11/2004;55;33;15;50;53;18;000;0;;;000;41;22.25005;3389;26816;SIM;13.992.64910;000;000
669;613;06/11/2004;54;55;13;44;06;19;000;0;;;000;108;12.25922;7101;18576;SIM;16.309.64240;000;000
670;614;10/11/2004;60;31;12;48;57;16;000;0;;;000;53;24.95184;4127;31923;SIM;25.638.07379;000;000
671;615;13/11/2004;27;31;08;10;51;05;000;0;;;000;157;11.34803;9780;18148;SIM;28.755.94365;000;000
672;616;17/11/2004;24;16;26;54;12;02;000;0;;;000;90;18.18752;9236;17656;SIM;31.620.47841;000;000
673;617;20/11/2004;25;05;49;36;33;03;000;2;;RJ;17.791.38759;289;7.83450;17341;13008;NÃO;000;000;000
674;;SP;;;;;;;;;;;;;;;;;;;
675;618;24/11/2004;60;10;03;08;24;13;000;0;;;000;86;6.31256;4992;10834;SIM;950.03898;000;000
676;619;27/11/2004;16;12;46;14;08;19;000;0;;;000;101;7.35406;5924;12491;SIM;10.960.27581;000;000
677;620;01/12/2004;22;01;29;13;32;03;000;0;;;000;87;11.70709;5886;17239;SIM;12.742.68043;000;000
678;621;04/12/2004;29;31;50;26;57;49;000;0;;;000;40;32.90481;3837;34173;SIM;15.046.01724;000;000
679;622;08/12/2004;59;27;19;29;50;38;000;0;;;000;49;24.78992;3560;33992;SIM;17.171.75286;000;000
680;623;11/12/2004;42;23;55;30;09;49;000;0;;;000;124;12.23603;6915;21859;SIM;19.826.97007;000;000
681;624;15/12/2004;39;23;34;52;08;43;000;1;;MG;22.375.18008;108;13.48259;7284;19916;NÃO;000;000;000
682;625;18/12/2004;59;12;32;42;24;40;000;0;;;000;49;20.77772;4056;25006;SIM;9.935.19223;000;000
683;626;22/12/2004;49;08;22;18;07;39;000;0;;;000;52;21.29416;5096;21647;SIM;11.872.96059;000;000
684;627;29/12/2004;19;13;45;58;56;01;000;0;;;000;112;14.27018;8049;19782;SIM;14.669.91547;000;000
685;628;05/01/2005;08;16;22;56;58;30;000;1;;SP;17.373.96613;76;20.33121;5510;27937;NÃO;000;000;000
686;629;08/01/2005;40;47;39;16;51;15;000;1;;SE;1.104.45638;15;42.07453;1865;33713;NÃO;000;000;000
687;630;12/01/2005;16;53;20;60;12;45;000;0;;;000;33;24.88069;2972;27523;SIM;8.811.80194;000;000
688;631;15/01/2005;01;28;47;20;44;32;000;1;;PR;10.579.24717;46;21.95584;3548;28358;NÃO;000;000;000
689;632;19/01/2005;02;54;48;51;19;28;000;0;;;000;26;19.69702;1962;26003;SIM;896.21444;000;000
690;633;22/01/2005;27;46;05;50;11;22;000;0;;;000;58;11.74477;3524;19257;SIM;2.088.30843;000;000
691;634;26/01/2005;13;41;24;42;10;56;000;0;;;000;54;11.85427;3752;16997;SIM;7.789.13730;000;000
692;635;29/01/2005;49;42;37;08;20;26;000;0;;;000;58;16.45684;3646;26080;SIM;9.459.50658;000;000
693;636;02/02/2005;30;32;34;50;28;26;000;0;;;000;74;12.76247;3170;29679;SIM;11.112.24645;000;000
694;637;05/02/2005;52;58;43;48;11;18;000;0;;;000;29;38.45169;3560;31204;SIM;13.063.66953;000;000
695;638;12/02/2005;42;10;50;41;11;36;000;0;;;000;65;22.67735;4518;32503;SIM;15.643.21850;000;000
696;639;16/02/2005;51;39;35;60;45;13;000;0;;;000;72;17.65396;5473;23137;SIM;25.066.53177;000;000
697;640;19/02/2005;12;42;59;46;19;60;000;0;;;000;129;14.01281;8094;22249;SIM;28.229.92476;000;000
698;641;23/02/2005;17;13;33;09;01;34;000;1;;MG;31.923.28919;366;5.76638;20840;10089;NÃO;000;000;000
699;642;26/02/2005;51;17;56;36;44;40;000;0;;;000;28;22.75880;1988;31934;SIM;1.115.18094;000;000
700;643;02/03/2005;14;45;24;37;40;42;000;0;;;000;41;15.66314;2694;23748;SIM;2.239.01124;000;000
701;644;05/03/2005;57;29;31;27;34;14;000;0;;;000;81;10.66736;4433;19417;SIM;11.328.15670;000;000
702;645;09/03/2005;52;48;24;53;54;03;000;0;;;000;39;27.31011;4345;24420;SIM;13.192.07141;000;000
703;646;12/03/2005;13;47;60;32;49;10;000;0;;;000;79;16.07941;6173;20500;SIM;15.415.04993;000;000
704;647;16/03/2005;56;19;11;14;12;54;000;1;;SP;17.603.35315;50;25.00918;5432;22934;NÃO;000;000;000
705;648;19/03/2005;05;48;23;42;45;29;000;3;;MG;361.19961;139;4.45467;4869;12669;NÃO;000;000;000
706;;RJ;;;;;;;;;;;;;;;;;;;
707;;SC;;;;;;;;;;;;;;;;;;;
708;649;23/03/2005;09;54;41;48;33;24;000;0;;;000;31;15.74823;2156;22557;SIM;6.720.86806;000;000
709;650;26/03/2005;53;59;25;29;10;24;000;0;;;000;29;24.32262;2765;25415;SIM;7.955.24121;000;000
710;651;30/03/2005;39;45;28;26;48;60;000;0;;;000;36;24.88292;4356;20486;SIM;9.522.86481;000;000
711;652;02/04/2005;24;18;57;56;10;20;000;0;;;000;41;27.38354;3874;28871;SIM;11.487.63394;000;000
712;653;06/04/2005;31;24;19;34;09;05;000;0;;;000;74;14.99432;6274;17618;SIM;13.429.39787;000;000
713;654;09/04/2005;10;11;56;40;41;06;000;1;;MG;15.767.59635;66;20.24414;4745;28052;NÃO;000;000;000
714;655;13/04/2005;26;39;01;37;43;48;000;0;;;000;23;33.45753;2722;28164;SIM;7.808.61422;000;000
715;656;16/04/2005;59;37;46;36;35;51;000;0;;;000;24;42.02673;2623;38308;SIM;9.573.73675;000;000
716;657;20/04/2005;20;59;58;33;60;16;000;1;;PR;11.354.23539;56;18.16836;3995;25372;NÃO;000;000;000
717;658;23/04/2005;41;20;36;03;11;06;000;0;;;000;31;18.41826;2883;19730;SIM;999.19032;000;000
718;659;27/04/2005;14;29;40;34;51;52;000;0;;;000;22;27.22216;1390;42922;SIM;7.004.05046;000;000
719;660;30/04/2005;53;05;38;54;46;11;000;0;;;000;58;16.75100;4204;23023;SIM;8.704.27705;000;000
720;661;04/05/2005;42;40;27;04;55;36;000;0;;;000;64;15.13077;4211;22909;SIM;10.398.92336;000;000
721;662;07/05/2005;04;60;56;25;18;23;000;0;;;000;79;14.97499;5525;21331;SIM;12.469.21544;000;000
722;663;11/05/2005;01;49;30;55;27;51;000;0;;;000;64;17.64982;4020;27993;SIM;14.445.99520;000;000
723;664;14/05/2005;12;01;55;59;38;36;000;0;;;000;74;18.45077;4971;27362;SIM;23.857.74039;000;000
724;665;18/05/2005;08;47;07;48;25;18;000;0;;;000;185;8.53856;10055;15651;SIM;26.622.09855;000;000
725;666;21/05/2005;07;26;16;29;45;55;000;0;;;000;77;26.92337;8122;25429;SIM;30.250.02218;000;000
726;667;25/05/2005;05;23;16;04;49;01;000;1;;SP;34.263.17355;203;11.29670;15283;14948;NÃO;000;000;000
727;668;28/05/2005;49;33;56;02;14;01;000;0;;;000;53;11.00774;2814;20654;SIM;1.020.96719;000;000
728;669;01/06/2005;07;41;24;40;49;27;000;1;;SP;2.170.21615;32;20.52230;2427;26957;NÃO;000;000;000
729;670;04/06/2005;42;59;58;37;48;22;000;0;;;000;24;43.08553;2895;35584;SIM;10.792.19893;000;000
730;671;08/06/2005;27;16;39;51;09;38;000;0;;;000;67;16.60970;4259;26030;SIM;12.739.68549;000;000
731;672;11/06/2005;43;34;53;38;28;24;000;0;;;000;54;24.27719;4411;29608;SIM;15.033.88001;000;000
732;673;15/06/2005;06;40;37;11;20;34;000;0;;;000;72;17.52373;4792;26230;SIM;17.241.86986;000;000
733;674;18/06/2005;22;32;18;29;42;38;000;0;;;000;96;16.07011;5586;27514;SIM;27.769.53663;000;000
734;675;22/06/2005;50;42;30;25;43;24;000;0;;;000;67;26.18070;5204;33579;SIM;30.839.22448;000;000
735;676;25/06/2005;49;32;15;09;41;42;000;0;;;000;94;22.08178;7583;27269;SIM;34.471.67639;000;000
736;677;29/06/2005;25;10;48;08;32;55;000;0;;;000;284;8.42282;12803;18614;SIM;38.657.81881;000;000
737;678;02/07/2005;44;46;31;14;40;42;000;0;;;000;115;28.31143;9797;33107;SIM;44.355.49536;000;000
738;679;06/07/2005;37;21;54;03;58;25;000;1;;RJ;51.890.45261;448;9.61091;22087;19420;NÃO;000;000;000
739;680;09/07/2005;44;02;26;05;03;22;000;0;;;000;188;7.27669;11222;12145;SIM;19.623.25797;000;000
740;681;13/07/2005;59;21;53;25;58;38;000;0;;;000;62;23.69509;5210;28091;SIM;22.194.17520;000;000
741;682;16/07/2005;60;37;47;36;04;27;000;0;;;000;62;25.83217;5647;28255;SIM;24.996.96562;000;000
742;683;20/07/2005;43;40;12;11;02;35;000;0;;;000;79;19.66604;5680;27249;SIM;27.715.79578;000;000
743;684;23/07/2005;50;37;33;40;19;17;000;0;;;000;81;22.48366;7103;25542;SIM;40.669.73333;000;000
744;685;27/07/2005;33;27;05;56;12;43;000;1;;SP;44.331.21978;347;6.02962;15404;13532;NÃO;000;000;000
745;686;30/07/2005;33;05;04;54;15;26;000;0;;;000;47;15.22172;3901;18271;SIM;1.251.98654;000;000
746;687;03/08/2005;59;48;01;07;41;14;000;0;;;000;28;25.83962;2887;24966;SIM;2.518.12816;000;000
747;688;06/08/2005;47;30;52;11;21;35;000;0;;;000;38;23.92089;2757;32845;SIM;4.108.86761;000;000
748;689;10/08/2005;06;60;07;31;49;51;000;0;;;000;29;30.33611;2998;29233;SIM;12.298.36158;000;000
749;690;13/08/2005;15;41;08;47;12;53;000;0;;;000;90;13.22550;5446;21774;SIM;14.381.37818;000;000
750;691;17/08/2005;55;16;58;08;37;50;000;0;;;000;54;20.62958;3896;28485;SIM;16.330.87312;000;000
751;692;20/08/2005;33;18;60;11;58;57;000;0;;;000;71;18.36513;4995;26006;SIM;18.612.74026;000;000
752;693;24/08/2005;14;50;41;17;31;13;000;0;;;000;152;8.90982;7170;18818;SIM;20.982.75264;000;000
753;694;27/08/2005;15;19;29;53;37;41;000;0;;;000;114;13.85926;7087;22210;SIM;31.925.75505;000;000
754;695;31/08/2005;13;40;21;52;06;11;000;0;;;000;76;22.21791;6333;26562;SIM;34.880.73754;000;000
755;696;03/09/2005;37;16;34;57;53;09;000;2;;MA;19.251.30249;195;10.61353;10814;19066;NÃO;000;000;000
756;;MG;;;;;;;;;;;;;;;;;;;
757;697;10/09/2005;53;35;32;31;28;51;000;0;;;000;27;33.33757;2895;30974;SIM;1.575.20044;000;000
758;698;14/09/2005;22;08;27;43;55;12;000;0;;;000;43;16.35469;3981;17599;SIM;2.805.89089;000;000
759;699;19/09/2005;53;17;50;23;54;48;000;0;;;000;54;16.25909;3752;23313;SIM;12.141.82141;000;000
760;700;21/09/2005;02;03;24;40;31;14;000;0;;;000;53;17.99131;3584;26504;SIM;13.810.51556;000;000
761;701;24/09/2005;13;01;31;23;60;48;000;0;;;000;103;11.25313;5623;20535;SIM;15.838.89181;000;000
762;702;28/09/2005;01;56;18;58;45;57;000;0;;;000;47;22.86849;3663;29231;SIM;17.719.82524;000;000
763;703;01/10/2005;30;24;02;45;11;27;000;0;;;000;123;10.76716;7343;17968;SIM;20.037.45542;000;000
764;704;05/10/2005;02;27;50;34;18;04;000;0;;;000;56;22.65995;5784;21856;SIM;29.484.06562;000;000
765;705;08/10/2005;03;15;11;13;26;43;000;0;;;000;144;11.78058;11514;14678;SIM;32.452.77110;000;000
766;706;15/10/2005;22;10;17;07;02;60;000;0;;;000;282;7.86656;15980;13830;SIM;36.334.91454;000;000
767;707;19/10/2005;51;08;01;43;10;36;000;2;;MG;19.919.97572;140;14.30628;12461;16012;NÃO;000;000;000
768;;RO;;;;;;;;;;;;;;;;;;;
769;708;22/10/2005;45;13;39;47;09;07;000;0;;;000;102;6.56735;5998;11126;SIM;1.172.27179;000;000
770;709;26/10/2005;29;22;44;09;06;04;000;0;;;000;106;5.88147;5202;11939;SIM;11.276.97800;000;000
771;710;29/10/2005;46;25;05;49;39;34;000;0;;;000;48;21.48328;4608;22294;SIM;13.081.57314;000;000
772;711;05/11/2005;10;05;41;59;40;33;000;0;;;000;79;18.11811;5840;24416;SIM;15.586.40201;000;000
773;712;09/11/2005;35;07;53;58;08;43;000;0;;;000;97;12.12215;5637;20781;SIM;17.644.13619;000;000
774;713;12/11/2005;46;01;26;16;12;54;000;0;;;000;67;20.43881;5838;23368;SIM;20.040.58654;000;000
775;714;16/11/2005;17;53;39;08;07;35;000;0;;;000;113;9.76645;10955;10036;SIM;29.611.13496;000;000
776;715;19/11/2005;54;36;12;04;33;24;000;3;;GO;10.825.80933;237;6.91089;13134;12424;NÃO;000;000;000
777;;MA;;;;;;;;;;;;;;;;;;;
778;;SP;;;;;;;;;;;;;;;;;;;
779;716;23/11/2005;29;02;07;50;16;32;000;1;;RJ;945.38275;37;14.60051;2512;21425;NÃO;000;000;000
780;717;26/11/2005;28;35;41;17;06;23;000;0;;;000;68;8.95676;3816;15900;SIM;1.065.85506;000;000
781;718;30/11/2005;07;35;21;39;58;33;000;0;;;000;41;13.75923;2893;19426;SIM;2.053.07987;000;000
782;719;03/12/2005;39;47;37;53;32;03;000;0;;;000;63;12.73700;3553;22500;SIM;8.649.48479;000;000
783;720;07/12/2005;12;56;44;51;31;54;000;0;;;000;20;45.65899;2606;34909;SIM;10.247.54936;000;000
784;721;10/12/2005;14;03;23;55;36;25;000;0;;;000;99;11.02533;6723;16175;SIM;12.157.68832;000;000
785;722;14/12/2005;60;36;57;18;44;09;000;0;;;000;85;12.70405;5334;20168;SIM;14.047.41526;000;000
786;723;17/12/2005;16;06;52;01;36;50;000;0;;;000;49;25.24204;4000;30805;SIM;16.211.92028;000;000
787;724;21/12/2005;34;51;55;17;48;27;000;0;;;000;102;12.53787;6190;20582;SIM;25.450.24643;000;000
788;725;31/12/2005;49;09;03;35;37;41;000;2;;MG;15.815.98763;343;10.29859;20451;17208;NÃO;000;000;000
789;;RJ;;;;;;;;;;;;;;;;;;;
790;726;04/01/2006;40;47;01;05;07;37;000;0;;;000;35;15.45949;2838;18994;SIM;946.89369;000;000
791;727;07/01/2006;14;42;12;04;59;30;000;0;;;000;29;25.00846;2688;26879;SIM;2.216.07286;000;000
792;728;11/01/2006;44;42;13;08;24;32;000;0;;;000;81;8.57531;5381;12859;SIM;3.431.62225;000;000
793;729;14/01/2006;33;56;18;57;43;05;000;1;;MG;4.969.51990;51;17.23134;5041;17367;NÃO;000;000;000
794;730;18/01/2006;45;15;02;54;16;50;000;0;;;000;34;23.41297;2824;28082;SIM;9.358.24967;000;000
795;731;21/01/2006;35;06;15;23;28;16;000;0;;;000;88;11.55463;6659;15212;SIM;11.137.66234;000;000
796;732;25/01/2006;49;19;53;50;17;06;000;0;;;000;65;14.61054;4196;22548;SIM;12.799.61164;000;000
797;733;28/01/2006;12;26;31;43;46;02;000;0;;;000;67;16.73798;5110;21863;SIM;14.762.13960;000;000
798;734;01/02/2006;44;45;27;29;43;54;000;1;;MG;16.726.56998;58;19.35400;3984;28069;NÃO;000;000;000
799;735;04/02/2006;40;42;15;52;38;09;000;0;;;000;33;27.16391;3043;29347;SIM;7.826.85328;000;000
800;736;08/02/2006;01;21;38;41;56;49;000;0;;;000;19;47.83560;2190;41344;SIM;9.417.38679;000;000
801;737;11/02/2006;33;12;24;38;11;32;000;0;;;000;65;18.73063;6267;19354;SIM;11.547.99559;000;000
802;738;15/02/2006;15;30;14;42;26;54;000;0;;;000;47;26.72069;4178;29945;SIM;13.745.77239;000;000
803;739;18/02/2006;06;45;56;49;35;10;000;0;;;000;54;25.99377;4723;29608;SIM;23.305.07375;000;000
804;740;22/02/2006;29;47;12;50;16;28;000;1;;PR;26.132.81465;90;17.95391;6943;23185;NÃO;000;000;000
805;741;25/02/2006;26;39;27;24;59;36;000;0;;;000;23;28.45338;2133;30565;SIM;1.145.24854;000;000
806;742;01/03/2006;34;17;07;41;02;50;000;0;;;000;25;14.19900;1622;21802;SIM;1.766.45486;000;000
807;743;04/03/2006;54;20;32;60;25;23;000;0;;;000;28;29.49122;2762;29784;SIM;3.211.52466;000;000
808;744;08/03/2006;26;46;12;23;39;04;000;0;;;000;77;10.44197;5387;14870;SIM;9.937.38049;000;000
809;745;11/03/2006;21;57;37;16;43;02;000;0;;;000;134;8.60462;5262;21830;SIM;11.955.16321;000;000
810;746;15/03/2006;49;12;10;57;25;01;000;2;;RS;6.995.68158;114;10.20652;6686;17336;NÃO;000;000;000
811;;SP;;;;;;;;;;;;;;;;;;;
812;747;18/03/2006;21;23;56;12;03;02;000;0;;;000;53;13.07929;4363;15828;SIM;1.213.10440;000;000
813;748;22/03/2006;01;07;19;51;35;02;000;0;;;000;74;9.08042;4519;14814;SIM;2.389.01877;000;000
814;749;25/03/2006;24;47;04;57;48;50;000;0;;;000;31;26.21436;2669;30333;SIM;9.429.09784;000;000
815;750;29/03/2006;58;17;54;10;42;33;000;0;;;000;49;18.79569;3799;24151;SIM;11.040.82828;000;000
816;751;01/04/2006;04;25;38;50;20;07;000;0;;;000;74;15.22168;5579;20114;SIM;13.012.03571;15.000.00000;000
817;752;05/04/2006;25;04;29;42;24;23;000;0;;;000;86;13.02230;6849;16290;SIM;14.971.89219;000;000
818;753;08/04/2006;59;35;43;22;07;02;000;1;;BA;17.388.22832;152;9.08397;8630;15940;NÃO;000;000;000
819;754;12/04/2006;04;42;34;50;03;13;000;0;;;000;41;14.45722;2827;20889;SIM;7.463.33098;000;000
820;755;15/04/2006;59;30;47;12;04;49;000;0;;;000;41;18.31933;2977;25135;SIM;8.777.74292;000;000
821;756;19/04/2006;37;50;41;05;38;27;000;0;;;000;34;27.50313;3135;29715;SIM;10.414.17909;000;000
822;757;22/04/2006;17;32;12;18;58;30;000;0;;;000;53;17.98872;3448;27546;SIM;12.082.63269;000;000
823;758;26/04/2006;47;59;01;23;36;43;000;0;;;000;74;14.35234;4910;21549;SIM;13.941.26058;000;000
824;759;29/04/2006;59;39;30;31;48;45;000;0;;;000;38;32.43150;2588;47440;SIM;22.265.54419;000;000
825;760;03/05/2006;12;17;60;44;46;45;000;0;;;000;80;16.00508;5517;23120;SIM;24.506.25518;000;000
826;761;06/05/2006;56;29;17;13;27;40;000;0;;;000;100;17.17597;8936;19148;SIM;27.512.04876;000;000
827;762;10/05/2006;39;09;21;12;37;54;000;0;;;000;143;13.66811;10120;19240;SIM;30.932.49192;000;000
828;763;13/05/2006;40;47;01;48;09;26;000;0;;;000;101;23.50231;7655;30892;SIM;35.086.52519;000;000
829;764;18/05/2006;07;03;55;47;53;45;000;1;;PA;40.539.53090;189;16.48679;15290;20303;NÃO;000;000;000
830;765;21/05/2006;03;37;50;16;30;10;000;0;;;000;62;15.55209;4336;22154;SIM;14.740.24865;000;000
831;766;24/05/2006;01;50;19;42;24;58;000;0;;;000;63;16.85733;4477;23631;SIM;16.598.76993;000;000
832;767;27/05/2006;22;50;32;38;54;15;000;0;;;000;62;20.31855;4419;28400;SIM;18.803.33188;000;000
833;768;31/05/2006;33;37;59;30;04;08;000;1;;MG;21.024.43031;93;13.64730;6408;19731;NÃO;000;000;000
834;769;03/06/2006;20;21;50;29;12;16;000;0;;;000;49;14.38206;3078;22808;SIM;7.808.14960;000;000
835;770;07/06/2006;04;34;25;35;48;12;000;0;;;000;68;13.70365;5401;17188;SIM;9.438.88288;000;000
836;771;10/06/2006;29;46;34;47;21;14;000;0;;;000;69;15.08983;4559;22753;SIM;11.260.97964;000;000
837;772;14/06/2006;38;51;52;60;10;35;000;0;;;000;66;13.47630;5330;16625;SIM;12.817.49236;15.000.00000;000
838;773;17/06/2006;03;05;51;29;34;14;000;0;;;000;58;16.45470;4919;19329;SIM;14.487.64471;000;000
839;774;21/06/2006;37;05;54;58;46;10;000;1;;PA;16.319.07108;64;16.35203;4336;24045;NÃO;000;000;000
840;775;24/06/2006;27;12;46;47;42;50;000;0;;;000;30;25.55959;3058;24980;SIM;7.421.10815;000;000
841;776;28/06/2006;57;35;60;41;03;15;000;0;;;000;56;13.54361;3075;24572;SIM;8.748.38229;000;000
842;777;01/07/2006;14;50;23;02;28;56;000;0;;;000;80;10.74673;3943;21722;SIM;10.252.92338;12.000.00000;000
843;778;05/07/2006;45;20;36;37;31;51;000;0;;;000;21;42.78584;1890;47360;SIM;11.825.30287;000;000
844;779;08/07/2006;36;54;52;25;29;26;000;0;;;000;26;39.58032;3127;32785;SIM;19.016.90607;000;000
845;780;12/07/2006;10;50;28;51;59;07;000;0;;;000;43;26.75456;3828;29940;SIM;21.030.18672;000;000
846;781;15/07/2006;10;54;08;39;56;13;000;0;;;000;66;19.80951;5707;22822;SIM;23.318.18527;000;000
847;782;19/07/2006;11;23;59;42;35;02;000;0;;;000;144;9.27041;7533;17655;SIM;25.654.32684;000;000
848;783;22/07/2006;43;21;48;08;04;32;000;1;;MT;28.244.62432;140;10.57264;8427;17499;NÃO;000;000;000
849;784;26/07/2006;42;56;08;37;27;53;000;0;;;000;27;20.36380;2163;25324;SIM;8.240.69517;000;000
850;785;29/07/2006;35;05;37;08;48;17;000;1;;RJ;9.770.97943;126;6.94006;6657;13087;NÃO;000;000;000
